Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Construction of Riverbank Protection Structure along Balagtas River, Barangay Santol, Balagtas, Bulacan",BULACAN,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,"96,499,536.28",01/31/2025,REPORT,"Construction of Riverbank Protection Structure along Balagtas River, Barangay Santol, Balagtas, Bulacan",02/07/2024,"CONTRACTOR:
ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.","CONTRACT COST: 96,499,536.28","BULACAN (14.850235 , 120.921323)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction of Riverbank Protection Structure along Balagtas River, Barangay Dalig, Balagtas, Bulacan",BULACAN,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,"96,499,605.25",01/31/2025,REPORT,"Construction of Riverbank Protection Structure along Balagtas River, Barangay Dalig, Balagtas, Bulacan",02/07/2024,"CONTRACTOR:
AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.","CONTRACT COST: 96,499,605.25","BULACAN (14.832399 , 120.926831)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction of Flood Mitigation Structure along Balingcaguing River (Calzada Section), Sta. 025+700 - Sta. 026+130, Barangay Calzada, Mabini, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,"96,500,000.00",01/31/2025,REPORT,"Construction of Flood Mitigation Structure along Balingcaguing River (Calzada Section), Sta. 025+700 - Sta. 026+130, Barangay Calzada, Mabini, Pangasinan",04/08/2024,"CONTRACTOR:
ANORE CONSTRUCTION","CONTRACT COST: 96,500,000.00","PANGASINAN (16.078171 , 119.926663)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Iponan River, Package 9, Cagayan de Oro City",MISAMIS ORIENTAL,EQUI-PARCO CONSTRUCTION COMPANY,"146,125,204.54",01/30/2025,REPORT,"Construction of Flood Control Structure along Iponan River, Package 9, Cagayan de Oro City",05/03/2024,"CONTRACTOR:
EQUI-PARCO CONSTRUCTION COMPANY","CONTRACT COST: 146,125,204.54","MISAMIS ORIENTAL (8.447269 , 124.575952)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Sagayaran River (Upstream) of Nabaliwa Bridge, Package 2, Pangantucan, Bukidnon",BUKIDNON,C'ZARLES CONSTRUCTION & SUPPLY,"70,821,287.43",01/30/2025,REPORT,"Construction of Flood Control Structure along Sagayaran River (Upstream) of Nabaliwa Bridge, Package 2, Pangantucan, Bukidnon",05/03/2024,"CONTRACTOR:
C'ZARLES CONSTRUCTION & SUPPLY","CONTRACT COST: 70,821,287.43","BUKIDNON (7.873539 , 124.746600)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Sagayaran River (Upstream) of Nabaliwa Bridge, Package 3, Pangantucan, Bukidnon",BUKIDNON,C'ZARLES CONSTRUCTION & SUPPLY,"70,727,334.57",01/30/2025,REPORT,"Construction of Flood Control Structure along Sagayaran River (Upstream) of Nabaliwa Bridge, Package 3, Pangantucan, Bukidnon",05/03/2024,"CONTRACTOR:
C'ZARLES CONSTRUCTION & SUPPLY","CONTRACT COST: 70,727,334.57","BUKIDNON (7.872026 , 124.746434)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Rehabilitation of Villamor Air Base Drainage System (Phase 5), Pasay City",PASAY CITY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY / FS CO BUILDERS AND SUPPLY,"96,399,674.94",01/30/2025,REPORT,"Rehabilitation of Villamor Air Base Drainage System (Phase 5), Pasay City",05/06/2024,"CONTRACTOR:
HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY / FS CO BUILDERS AND SUPPLY","CONTRACT COST: 96,399,674.94","PASAY CITY (14.520992 , 121.026170)",National Capital Region,Rehabilitation / Major Repair of Drainage Structure,FY 2024
"Construction of River Control, Brgy. Basug-Banaoang, Santa, Ilocos Sur",ILOCOS SUR,M.V. SABALBURO CONSTRUCTION AND SUPPLY,"4,899,693.22",01/29/2025,REPORT,"Construction of River Control, Brgy. Basug-Banaoang, Santa, Ilocos Sur",03/27/2024,"CONTRACTOR:
M.V. SABALBURO CONSTRUCTION AND SUPPLY","CONTRACT COST: 4,899,693.22","ILOCOS SUR (17.527160 , 120.444280)",Region I,Construction of Revetment,FY 2024
"Construction of Slope Protection (Downstream) of Panguil Bridge along Ozamiz-Pagadian Road, Bonifacio, Misamis Occidental",MISAMIS OCCIDENTAL,MINDANAO ROCK,"47,530,000.00",01/28/2025,REPORT,"Construction of Slope Protection (Downstream) of Panguil Bridge along Ozamiz-Pagadian Road, Bonifacio, Misamis Occidental",02/10/2023,"CONTRACTOR:
MINDANAO ROCK","CONTRACT COST: 47,530,000.00","MISAMIS OCCIDENTAL (8.048171 , 123.591208)",Region X,Construction of Slope Protection Structure,FY 2023
"Construction of Drainage Structure, Lumban, Tangub City, Misamis Occidental",MISAMIS OCCIDENTAL,WEISENWORK CONSTRUCTION,"4,752,999.34",01/28/2025,REPORT,"Construction of Drainage Structure, Lumban, Tangub City, Misamis Occidental",06/20/2024,"CONTRACTOR:
WEISENWORK CONSTRUCTION","CONTRACT COST: 4,752,999.34","MISAMIS OCCIDENTAL (8.094667 , 123.714447)",Region X,Construction of Drainage Structure,FY 2024
"Construction of Box Culvert, Barangay Malagap, Banisilan, Cotabato",COTABATO (NORTH COTABATO),BETTER WORK CONSTRUCTION,"4,949,997.25",01/27/2025,REPORT,"Construction of Box Culvert, Barangay Malagap, Banisilan, Cotabato",09/17/2024,"CONTRACTOR:
BETTER WORK CONSTRUCTION","CONTRACT COST: 4,949,997.25","COTABATO (NORTH COTABATO) (7.389972 , 124.658127)",Region XII,Construction of Drainage Structure,FY 2024
"Construction of Flood Control Structure at Magsaysay River Phase I RT Lim, Zamboanga Sibugay",ZAMBOANGA SIBUGAY,BARILLO CONSTRUCTION AND ENTERPRISES,"95,529,501.40",01/27/2025,REPORT,"Construction of Flood Control Structure at Magsaysay River Phase I RT Lim, Zamboanga Sibugay",05/08/2024,"CONTRACTOR:
BARILLO CONSTRUCTION AND ENTERPRISES","CONTRACT COST: 95,529,501.40","ZAMBOANGA SIBUGAY (7.651280 , 122.465040)",Region IX,Construction of Flood Mitigation Structure,FY 2024
"Construction of Dinas River Flood Control, Barangay Balongating, Guipos Zamboanga del Sur, Phase IV",ZAMBOANGA DEL SUR,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,"19,362,789.00",01/27/2025,REPORT,"Construction of Dinas River Flood Control, Barangay Balongating, Guipos Zamboanga del Sur, Phase IV",04/08/2024,"CONTRACTOR:
ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION","CONTRACT COST: 19,362,789.00","ZAMBOANGA DEL SUR (7.749118 , 123.334037)",Region IX,Construction of Flood Mitigation Structure,FY 2024
"Rehabilitation of Existing Dike along Lucung River (Magao Section, Right Bank), Package F, Concepcion, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"96,497,823.04",01/27/2025,REPORT,"Rehabilitation of Existing Dike along Lucung River (Magao Section, Right Bank), Package F, Concepcion, Tarlac",02/24/2024,"CONTRACTOR:
ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.","CONTRACT COST: 96,497,823.04","TARLAC (15.322617 , 120.758217)",Region III,Rehabilitation / Major Repair of Flood Control Structure,FY 2024
"Construction of Flood Control Structure (with esplanade) along Pulangi River, Brgy. Poblacion, Package 4, Valencia City, Bukidnon",BUKIDNON,"M. MONTESCLAROS ENTERPRISES, INC.","178,780,664.03",01/26/2025,REPORT,"Construction of Flood Control Structure (with esplanade) along Pulangi River, Brgy. Poblacion, Package 4, Valencia City, Bukidnon",02/13/2023,"CONTRACTOR:
M. MONTESCLAROS ENTERPRISES, INC.","CONTRACT COST: 178,780,664.03","BUKIDNON (7.895070 , 125.095147)",Region X,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure, Katipunan, Zamboanga del Norte",ZAMBOANGA DEL NORTE,RDT CONSTRUCTION AND GENERAL MERCHANDISE,"9,854,928.39",01/26/2025,REPORT,"Construction of Flood Control Structure, Katipunan, Zamboanga del Norte",02/21/2024,"CONTRACTOR:
RDT CONSTRUCTION AND GENERAL MERCHANDISE","CONTRACT COST: 9,854,928.39","ZAMBOANGA DEL NORTE (8.513611 , 123.284167)",Region IX,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Meycauayan River (Tawiran - Wawang Pulo Section), Sta. 02+200 - Sta. 02+300, Obando, Bulacan",BULACAN,"L.R. TIQUI BUILDERS, INC. / 729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","96,499,745.71",01/26/2025,REPORT,"Construction of Flood Control Structure along Meycauayan River (Tawiran - Wawang Pulo Section), Sta. 02+200 - Sta. 02+300, Obando, Bulacan",03/18/2024,"CONTRACTOR:
L.R. TIQUI BUILDERS, INC. / 729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","CONTRACT COST: 96,499,745.71","BULACAN (14.745834 , 120.916777)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Bank Slope Protection along Alaminos River, Sta. 008+572.9 - Sta. 008+972.9, Barangay Cayucay, Alaminos City, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,"96,500,000.00",01/26/2025,REPORT,"Construction of Bank Slope Protection along Alaminos River, Sta. 008+572.9 - Sta. 008+972.9, Barangay Cayucay, Alaminos City, Pangasinan",04/12/2024,"CONTRACTOR:
ANORE CONSTRUCTION","CONTRACT COST: 96,500,000.00","PANGASINAN (16.177186 , 119.976198)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Construction of Revetment along Padada-Mainit River (Tanwalang Section), Package D, Sulop, Davao del Sur",DAVAO DEL SUR,ROSBILL CONSTRUCTION AND SUPPLY,"90,271,251.25",01/25/2025,REPORT,"Construction of Revetment along Padada-Mainit River (Tanwalang Section), Package D, Sulop, Davao del Sur",04/16/2024,"CONTRACTOR:
ROSBILL CONSTRUCTION AND SUPPLY","CONTRACT COST: 90,271,251.25","DAVAO DEL SUR (6.659842 , 125.278294)",Region XI,Construction of Revetment,FY 2024
"Construction of Flood Control Structure along Calumpang River (Section 7), Batangas City, Batangas",BATANGAS,"VICMAR CONSTRUCTION, INC.","86,850,000.00",01/25/2025,REPORT,"Construction of Flood Control Structure along Calumpang River (Section 7), Batangas City, Batangas",02/07/2024,"CONTRACTOR:
VICMAR CONSTRUCTION, INC.","CONTRACT COST: 86,850,000.00","BATANGAS (13.764653 , 121.070143)",Region IV-A,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Dike along Bulatukan River, Sta. 62+800 - Sta. 63+140 R/S, Barangay New Bulatukan, Makilala, Cotabato",COTABATO (NORTH COTABATO),"AGONG BUILDERS AND CONSTRUCTION SUPPLY, INC. / JARGON CONSTRUCTION & SUPPLY","48,262,644.03",01/24/2025,REPORT,"Construction of Flood Control Dike along Bulatukan River, Sta. 62+800 - Sta. 63+140 R/S, Barangay New Bulatukan, Makilala, Cotabato",04/17/2024,"CONTRACTOR:
AGONG BUILDERS AND CONSTRUCTION SUPPLY, INC. / JARGON CONSTRUCTION & SUPPLY","CONTRACT COST: 48,262,644.03","COTABATO (NORTH COTABATO) (6.916800 , 125.170560)",Region XII,Construction of Dike,FY 2024
"Construction/Rehabilitation of Flood Control Structures along Rio Chico River, Brgy. Partida I, Guimba, Nueva Ecija",NUEVA ECIJA,NIÑAS CONSTRUCTION CORP. (FORMERLY: NINA'S CONSTRUCTION AND SUPPLIES),"66,867,803.43",01/24/2025,REPORT,"Construction/Rehabilitation of Flood Control Structures along Rio Chico River, Brgy. Partida I, Guimba, Nueva Ecija",04/29/2024,"CONTRACTOR:
NIÑAS CONSTRUCTION CORP. (FORMERLY: NINA'S CONSTRUCTION AND SUPPLIES)","CONTRACT COST: 66,867,803.43","NUEVA ECIJA (15.641573 , 120.715186)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Cagayan River, Aguigican, Gattaran, Cagayan, Package 3",CAGAYAN,TJMT CONSTRUCTION,"96,490,000.00",01/24/2025,REPORT,"Construction of Flood Control Structure along Cagayan River, Aguigican, Gattaran, Cagayan, Package 3",02/22/2024,"CONTRACTOR:
TJMT CONSTRUCTION","CONTRACT COST: 96,490,000.00","CAGAYAN (18.102522 , 121.661794)",Region II,Construction of Flood Mitigation Structure,FY 2024
"Construction of Drainage Canal in Brgy. Urbiztondo, San Juan La Union",LA UNION,AYANA CONSTRUCTION AND TRADING,"4,949,472.50",01/24/2025,REPORT,"Construction of Drainage Canal in Brgy. Urbiztondo, San Juan La Union",03/22/2024,"CONTRACTOR:
AYANA CONSTRUCTION AND TRADING","CONTRACT COST: 4,949,472.50","LA UNION (16.662483 , 120.324023)",Region I,Construction of Drainage Structure,FY 2024
"Construction of Retarding Basin and Installation of Booster Pump Accessories along Estero dela Reina, Tondo, Manila City",CITY OF MANILA,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"96,498,773.68",01/24/2025,REPORT,"Construction of Retarding Basin and Installation of Booster Pump Accessories along Estero dela Reina, Tondo, Manila City",02/07/2024,"CONTRACTOR:
ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.","CONTRACT COST: 96,498,773.68","CITY OF MANILA (14.610790 , 120.971370)",National Capital Region,Construction of Retarding Basin,FY 2024
"Construction of Flood Mitigation Structure along Namnam Bridge, barangay Namnam, San Fernando, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,"96,500,000.00",01/23/2025,REPORT,"Construction of Flood Mitigation Structure along Namnam Bridge, barangay Namnam, San Fernando, Bukidnon",01/31/2024,"CONTRACTOR:
ROSBILL CONSTRUCTION AND SUPPLY","CONTRACT COST: 96,500,000.00","BUKIDNON (7.828017 , 125.385025)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure along Ilog-Hilabangan River (Upstream of Approach A of Ilog Br.) Phase 2, Kabankalan City, Negros Occidental",NEGROS OCCIDENTAL,HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E,"125,450,000.00",01/23/2025,REPORT,"Construction of Flood Mitigation Structure along Ilog-Hilabangan River (Upstream of Approach A of Ilog Br.) Phase 2, Kabankalan City, Negros Occidental",02/22/2024,"CONTRACTOR:
HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E","CONTRACT COST: 125,450,000.00","NEGROS OCCIDENTAL (9.999670 , 122.799260)",Negros Island Region,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Palandok River (Downstream) Sta. 0+000.00 - Sta. 0+400.00, Leon Postigo, Zamboanga del Norte",ZAMBOANGA DEL NORTE,F.A. TORRES CONSTRUCTION / R.B. MORALLO CONSTRUCTION,"96,500,000.00",01/22/2025,REPORT,"Construction of Flood Control Structure along Palandok River (Downstream) Sta. 0+000.00 - Sta. 0+400.00, Leon Postigo, Zamboanga del Norte",03/24/2024,"CONTRACTOR:
F.A. TORRES CONSTRUCTION / R.B. MORALLO CONSTRUCTION","CONTRACT COST: 96,500,000.00","ZAMBOANGA DEL NORTE (8.140580 , 122.859640)",Region IX,Construction of Flood Mitigation Structure,FY 2024
"Construction of Retaining Wall, Barangay Libis, Quezon City",QUEZON CITY,IM CONSTRUCTION CORPORATION,"19,206,242.70",01/22/2025,REPORT,"Construction of Retaining Wall, Barangay Libis, Quezon City",02/08/2024,"CONTRACTOR:
IM CONSTRUCTION CORPORATION","CONTRACT COST: 19,206,242.70","QUEZON CITY (14.615440 , 121.072450)",National Capital Region,Construction of Flood Mitigation Structure,FY 2024
"Construction of Riverbank Protection Structure along Maitim Waterways, near F.T. San Luis Road, Bay, Laguna",LAGUNA,BHENLLABIEN BUILDERS CORPORATION (FORMERLY: BHENLLABIEN BUILDERS CONSTRUCTION),"93,564,706.00",01/21/2025,REPORT,"Construction of Riverbank Protection Structure along Maitim Waterways, near F.T. San Luis Road, Bay, Laguna",03/01/2024,"CONTRACTOR:
BHENLLABIEN BUILDERS CORPORATION (FORMERLY: BHENLLABIEN BUILDERS CONSTRUCTION)","CONTRACT COST: 93,564,706.00","LAGUNA (14.173592 , 121.274120)",Region IV-A,Construction of Flood Mitigation Structure,FY 2024
"Construction of Revetment along Padada-Mainit River (Tanwalang Section), Package C, Sulop, Davao del Sur",DAVAO DEL SUR,ROSBILL CONSTRUCTION AND SUPPLY,"91,500,000.00",01/20/2025,REPORT,"Construction of Revetment along Padada-Mainit River (Tanwalang Section), Package C, Sulop, Davao del Sur",04/11/2024,"CONTRACTOR:
ROSBILL CONSTRUCTION AND SUPPLY","CONTRACT COST: 91,500,000.00","DAVAO DEL SUR (6.659319 , 125.277806)",Region XI,Construction of Revetment,FY 2024
"Construction of Flood Mitigation Structure along Barandias-Dominorog Rd (Downstream) of Dominorog Bridge, Talakag, Bukidnon",BUKIDNON,VEN RAY CONSTRUCTION CORPORATION,"49,000,000.00",01/20/2025,REPORT,"Construction of Flood Mitigation Structure along Barandias-Dominorog Rd (Downstream) of Dominorog Bridge, Talakag, Bukidnon",02/12/2024,"CONTRACTOR:
VEN RAY CONSTRUCTION CORPORATION","CONTRACT COST: 49,000,000.00","BUKIDNON (7.909246 , 124.651780)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Revetment Wall Structure along Mananga River (Right Side), Purok Narra, Barangay Jaclupan, Talisay City, Cebu",CEBU,QM BUILDERS,"138,600,000.00",01/20/2025,REPORT,"Construction of Revetment Wall Structure along Mananga River (Right Side), Purok Narra, Barangay Jaclupan, Talisay City, Cebu",03/04/2024,"CONTRACTOR:
QM BUILDERS","CONTRACT COST: 138,600,000.00","CEBU (10.282452 , 123.821872)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure with Drainage and Line Canal, Sta.0+000 - Sta. 0+678, Barangay Canacan, Kabasalan, Zamboanga Sibugay",ZAMBOANGA SIBUGAY,DEBRIS ENTERPRISES AND CONSTRUCTION,"20,431,934.07",01/20/2025,REPORT,"Construction of Flood Control Structure with Drainage and Line Canal, Sta.0+000 - Sta. 0+678, Barangay Canacan, Kabasalan, Zamboanga Sibugay",07/15/2024,"CONTRACTOR:
DEBRIS ENTERPRISES AND CONSTRUCTION","CONTRACT COST: 20,431,934.07","ZAMBOANGA SIBUGAY (7.809130 , 122.754100)",Region IX,Construction of Flood Mitigation Structure,FY 2024
"Construction of Slope Protection Structure, Barangay Citrus, San Jose del Monte, Bulacan",BULACAN,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"48,990,160.74",01/20/2025,REPORT,"Construction of Slope Protection Structure, Barangay Citrus, San Jose del Monte, Bulacan",04/30/2024,"CONTRACTOR:
ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.","CONTRACT COST: 48,990,160.74","BULACAN (14.852634 , 121.063627)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion Section), Sta. 027+880 - Sta. 028+203, Barangay Poblacion, Mabini, Pangasinan",PANGASINAN,BERSON'S CONSTRUCTION & TRADING,"72,687,660.00",01/20/2025,REPORT,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion Section), Sta. 027+880 - Sta. 028+203, Barangay Poblacion, Mabini, Pangasinan",02/12/2024,"CONTRACTOR:
BERSON'S CONSTRUCTION & TRADING","CONTRACT COST: 72,687,660.00","PANGASINAN (16.058989 , 119.942750)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Aringay River Basin, Barangay Sto. Rosario West, Aringay, La Union",LA UNION,ANORE CONSTRUCTION,"96,479,841.90",01/20/2025,REPORT,"Construction of Flood Control Structure along Aringay River Basin, Barangay Sto. Rosario West, Aringay, La Union",03/08/2024,"CONTRACTOR:
ANORE CONSTRUCTION","CONTRACT COST: 96,479,841.90","LA UNION (16.388885 , 120.333738)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Contruction of Slope Protection along Pampanga River, Brgy. Cupang and Brgy. Guemasan, Arayat, Pampanga",PAMPANGA,EDDMARI CONSTRUCTION & TRADING,"91,578,481.02",01/19/2025,REPORT,"Contruction of Slope Protection along Pampanga River, Brgy. Cupang and Brgy. Guemasan, Arayat, Pampanga",05/22/2024,"CONTRACTOR:
EDDMARI CONSTRUCTION & TRADING","CONTRACT COST: 91,578,481.02","PAMPANGA (15.140852 , 120.781012)",Region III,Construction of Slope Protection Structure,FY 2024
"Rehabilitation of Slope Protection Works including Roads along Sapang Maragul River Dike (Betis Section), Betis, Guagua, Pampanga",PAMPANGA,FERDSTAR BUILDERS INC.,"96,494,237.11",01/18/2025,REPORT,"Rehabilitation of Slope Protection Works including Roads along Sapang Maragul River Dike (Betis Section), Betis, Guagua, Pampanga",05/09/2024,"CONTRACTOR:
FERDSTAR BUILDERS INC.","CONTRACT COST: 96,494,237.11","PAMPANGA (14.975917 , 120.634123)",Region III,Rehabilitation / Major Repair of Slope Protection Structure,FY 2024
"Construction of Drainage System along Morong Street, Manila City",CITY OF MANILA,AL-AMEN BUILDERS,"48,968,908.87",01/18/2025,REPORT,"Construction of Drainage System along Morong Street, Manila City",02/07/2024,"CONTRACTOR:
AL-AMEN BUILDERS","CONTRACT COST: 48,968,908.87","CITY OF MANILA (14.631261 , 120.977523)",National Capital Region,Construction of Drainage Structure,FY 2024
"Construction of Slope Protection Structure along Jct. San Benito-Sta. Monica Road, San Benito, Surigao Del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,"39,499,723.17",01/17/2025,REPORT,"Construction of Slope Protection Structure along Jct. San Benito-Sta. Monica Road, San Benito, Surigao Del Norte",04/05/2024,"CONTRACTOR:
BOOMETRIX DEVELOPMENT CORP.","CONTRACT COST: 39,499,723.17","SURIGAO DEL NORTE (9.967880 , 126.012100)",Region XIII,Construction of Slope Protection Structure,FY 2024
"Construction of Flood Mitigation Structure along Adlayan Riverbank (Upstream), Agusan del Sur",AGUSAN DEL SUR,"YES CONSTRUCTION / ARN BUILDERS, INC. (FOR: ARN BUILDERS)","49,499,999.46",01/17/2025,REPORT,"Construction of Flood Mitigation Structure along Adlayan Riverbank (Upstream), Agusan del Sur",06/11/2024,"CONTRACTOR:
YES CONSTRUCTION / ARN BUILDERS, INC. (FOR: ARN BUILDERS)","CONTRACT COST: 49,499,999.46","AGUSAN DEL SUR (8.511406 , 125.970911)",Region XIII,Construction of Flood Mitigation Structure,FY 2024
"Rehabilitation of Revetment along Landayan Waterways (near Landayan Road), Barangay Landayan, City of San Pedro, Laguna",LAGUNA,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,"94,087,500.00",01/17/2025,REPORT,"Rehabilitation of Revetment along Landayan Waterways (near Landayan Road), Barangay Landayan, City of San Pedro, Laguna",02/26/2024,"CONTRACTOR:
AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.","CONTRACT COST: 94,087,500.00","LAGUNA (14.352853 , 121.068097)",Region IV-A,Rehabilitation / Major Repair of Flood Control Structure,FY 2024
"Bank Improvement along Tarlac River-O' Donell River, Moriones - Balanti Section, Tarlac (Segment H)",TARLAC,JUSTBILT BUILDERS,"99,000,000.00",01/17/2025,REPORT,"Bank Improvement along Tarlac River-O' Donell River, Moriones - Balanti Section, Tarlac (Segment H)",02/27/2024,"CONTRACTOR:
JUSTBILT BUILDERS","CONTRACT COST: 99,000,000.00","TARLAC (15.444850 , 120.559428)",Region III,Rehabilitation / Major Repair of Flood Control Structure,FY 2024
"Construction/Improvement of Bank along Tarlac River - O' Donell River, Moriones - Balanti Section (Segment F)",TARLAC,JUSTBILT BUILDERS,"99,000,000.00",01/17/2025,REPORT,"Construction/Improvement of Bank along Tarlac River - O' Donell River, Moriones - Balanti Section (Segment F)",02/27/2024,"CONTRACTOR:
JUSTBILT BUILDERS","CONTRACT COST: 99,000,000.00","TARLAC (15.449003 , 120.560761)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction/Improvement of Slope Protection Structure and Waterways along Bocaue River, Brgy. Bambang (Sitio Pulo To Purok 6), Bocaue, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,999,012.87",01/17/2025,REPORT,"Construction/Improvement of Slope Protection Structure and Waterways along Bocaue River, Brgy. Bambang (Sitio Pulo To Purok 6), Bocaue, Bulacan",04/23/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.","CONTRACT COST: 98,999,012.87","BULACAN (14.765670 , 120.917923)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction/Improvement of Slope Protection Structure and Waterways, Brgy. Bambang, Bocaue, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BEAM TEAM DEVELOPER SPECIALIST INC.,"98,998,749.59",01/17/2025,REPORT,"Construction/Improvement of Slope Protection Structure and Waterways, Brgy. Bambang, Bocaue, Bulacan",04/23/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / BEAM TEAM DEVELOPER SPECIALIST INC.","CONTRACT COST: 98,998,749.59","BULACAN (14.763604 , 120.920712)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction/Improvement of Slope Protection Structure and Waterways along Bocaue River, Brgy. Turo (Sitio Hangga), Bocaue, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,994,958.26",01/17/2025,REPORT,"Construction/Improvement of Slope Protection Structure and Waterways along Bocaue River, Brgy. Turo (Sitio Hangga), Bocaue, Bulacan",04/23/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.","CONTRACT COST: 98,994,958.26","BULACAN (14.812368 , 120.944150)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction/Improvement of Slope Protection Structure and Waterways along Bocaue River, Brgy. Bambang (Sitio Bakod To Purok 6), Bocaue, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,999,038.56",01/17/2025,REPORT,"Construction/Improvement of Slope Protection Structure and Waterways along Bocaue River, Brgy. Bambang (Sitio Bakod To Purok 6), Bocaue, Bulacan",04/23/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.","CONTRACT COST: 98,999,038.56","BULACAN (14.764925 , 120.918991)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction of Flood Control Structure along Aringay River Basin, Barangay San Juan East, Aringay, La Union (Phase 2)",LA UNION,"T2B3 BUILDERS AND SUPPLIES CORP. / RPV RED MOUNTAIN KONSTRUCT, INC.","28,943,409.41",01/17/2025,REPORT,"Construction of Flood Control Structure along Aringay River Basin, Barangay San Juan East, Aringay, La Union (Phase 2)",08/13/2024,"CONTRACTOR:
T2B3 BUILDERS AND SUPPLIES CORP. / RPV RED MOUNTAIN KONSTRUCT, INC.","CONTRACT COST: 28,943,409.41","LA UNION (16.417070 , 120.393754)",Region I,Construction of Flood Mitigation Structure,FY 2024
