Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 1, Sta. Monica, Surigao del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,"72,274,865.65",05/21/2025,REPORT,"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 1, Sta. Monica, Surigao del Norte",02/16/2024,"CONTRACTOR:
BOOMETRIX DEVELOPMENT CORP.","CONTRACT COST: 72,274,865.65","SURIGAO DEL NORTE (9.985360 , 126.055820)",Region XIII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Line Canal, Barangay Quibuar, Alaminos City, Pangasinan",PANGASINAN,GED CONSTRUCTION,"4,850,666.92",05/21/2025,REPORT,"Construction of Line Canal, Barangay Quibuar, Alaminos City, Pangasinan",02/10/2025,"CONTRACTOR:
GED CONSTRUCTION","CONTRACT COST: 4,850,666.92","PANGASINAN (16.356031 , 120.433852)",Region I,Construction of Flood Mitigation Structure,FY 2025
"Installation of Booster Pump and Accessories along Estero dela Reina, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / 4 J'S CONSTRUCTION SERVICES,"94,714,433.36",05/21/2025,REPORT,"Installation of Booster Pump and Accessories along Estero dela Reina, Manila City",02/11/2025,"CONTRACTOR:
EIGHT J'S CONSTRUCTION SERVICES / 4 J'S CONSTRUCTION SERVICES","CONTRACT COST: 94,714,433.36","CITY OF MANILA (14.602880 , 120.972740)",National Capital Region,Construction of Flood Mitigation Facility,FY 2025
"Construction of Slope Protection Structure, Inagawan CIS, Puerto Princesa City, Palawan",PALAWAN,KRATOS STRUCPRIME CONSTRUCTION AND SUPPLY CORP,"14,669,999.48",05/19/2025,REPORT,"Construction of Slope Protection Structure, Inagawan CIS, Puerto Princesa City, Palawan",02/05/2025,"CONTRACTOR:
KRATOS STRUCPRIME CONSTRUCTION AND SUPPLY CORP","CONTRACT COST: 14,669,999.48","PALAWAN (9.554140 , 118.618250)",Region IV-B,Construction of Flood Mitigation Structure,FY 2025
"Construction of Flood Mitigation Structure in Barangay Malibu, Tuy, Batangas",BATANGAS,830 BUILDERS & DEVELOPERS CORP.,"4,753,000.00",05/19/2025,REPORT,"Construction of Flood Mitigation Structure in Barangay Malibu, Tuy, Batangas",03/03/2025,"CONTRACTOR:
830 BUILDERS & DEVELOPERS CORP.","CONTRACT COST: 4,753,000.00","BATANGAS (13.996941 , 120.706502)",Region IV-A,Construction of Flood Mitigation Structure,FY 2025
"Rehabilitation of Sabo Dam including Drainage System at Tolega Norte CIS, Moncada, Tarlac",TARLAC,T2B3 BUILDERS AND SUPPLIES CORP.,"14,700,000.00",05/19/2025,REPORT,"Rehabilitation of Sabo Dam including Drainage System at Tolega Norte CIS, Moncada, Tarlac",01/27/2025,"CONTRACTOR:
T2B3 BUILDERS AND SUPPLIES CORP.","CONTRACT COST: 14,700,000.00","TARLAC (15.748532 , 120.597880)",Region III,Rehabilitation / Major Repair of Slope Protection Structure,FY 2025
"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 2, Sta. Monica, Surigao del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,"72,274,740.23",05/15/2025,REPORT,"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 2, Sta. Monica, Surigao del Norte",02/16/2024,"CONTRACTOR:
BOOMETRIX DEVELOPMENT CORP.","CONTRACT COST: 72,274,740.23","SURIGAO DEL NORTE (9.989483 , 126.054218)",Region XIII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure Along Cabadbaran River Upstream, Package 3, Cabadbaran City, Agusan del Norte",AGUSAN DEL NORTE,TRIPARCO DEVELOPMENT CORPORATION,"192,999,918.68",05/15/2025,REPORT,"Construction of Flood Control Structure Along Cabadbaran River Upstream, Package 3, Cabadbaran City, Agusan del Norte",05/03/2024,"CONTRACTOR:
TRIPARCO DEVELOPMENT CORPORATION","CONTRACT COST: 192,999,918.68","AGUSAN DEL NORTE (9.127490 , 125.537120)",Region XIII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Bank Protection Structure along Cadaanan Creek (Segment B), Anao, Tarlac",TARLAC,T2B3 BUILDERS AND SUPPLIES CORP.,"45,000,000.00",05/14/2025,REPORT,"Construction of Bank Protection Structure along Cadaanan Creek (Segment B), Anao, Tarlac",02/27/2024,"CONTRACTOR:
T2B3 BUILDERS AND SUPPLIES CORP.","CONTRACT COST: 45,000,000.00","TARLAC (15.715533 , 120.624098)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction of Siffu River Flood Control Project, Barangay Masigun Phase II, Sta. 0+960 - Sta. 1+760, Roxas, Isabela",ISABELA,RRC CO. INC. (FORMERLY: R R C CONSTRUCTION),"96,480,164.87",05/13/2025,REPORT,"Construction of Siffu River Flood Control Project, Barangay Masigun Phase II, Sta. 0+960 - Sta. 1+760, Roxas, Isabela",05/13/2024,"CONTRACTOR:
RRC CO. INC. (FORMERLY: R R C CONSTRUCTION)","CONTRACT COST: 96,480,164.87","ISABELA (17.109228 , 121.685460)",Region II,Construction of Flood Mitigation Structure,FY 2024
